order.date,order.id,order.line,state,quantity,price,extended_price,category_1,category_2,frame_material,bikeshop.name
2011-01-18,11,2,CA,2,3200,6400,Road,Elite Road,Aluminum,San Francisco Cruisers
2011-01-18,11,3,CA,1,1840,1840,Road,Elite Road,Carbon,San Francisco Cruisers
2011-01-18,11,4,CA,1,4500,4500,Road,Triathalon,Carbon,San Francisco Cruisers
2011-01-18,11,5,CA,1,7460,7460,Road,Endurance Road,Carbon,San Francisco Cruisers
2011-01-18,11,6,CA,1,3200,3200,Mountain,Cross Country Race,Aluminum,San Francisco Cruisers
2011-01-18,11,7,CA,1,3500,3500,Road,Cyclocross,Carbon,San Francisco Cruisers
2011-01-20,12,1,KY,2,3730,7460,Road,Endurance Road,Carbon,Louisville Race Equipment
2011-01-20,12,2,KY,1,3840,3840,Mountain,Over Mountain,Carbon,Louisville Race Equipment
2011-01-20,12,3,KY,1,9060,9060,Mountain,Cross Country Race,Carbon,Louisville Race Equipment
2011-01-20,12,4,KY,1,5860,5860,Road,Elite Road,Aluminum,Louisville Race Equipment
2011-01-20,12,5,KY,1,4800,4800,Road,Endurance Road,Carbon,Louisville Race Equipment
2011-01-20,12,6,KY,1,4500,4500,Road,Triathalon,Carbon,Louisville Race Equipment
2011-01-20,12,7,KY,1,3200,3200,Road,Endurance Road,Carbon,Louisville Race Equipment
2011-01-20,12,8,KY,1,1840,1840,Road,Endurance Road,Carbon,Louisville Race Equipment
2011-01-20,12,9,KY,1,9590,9590,Road,Endurance Road,Carbon,Louisville Race Equipment
2011-01-20,12,10,KY,1,3200,3200,Road,Elite Road,Aluminum,Louisville Race Equipment
2011-01-20,12,11,KY,1,2660,2660,Road,Endurance Road,Carbon,Louisville Race Equipment
2011-01-20,12,12,KY,1,5330,5330,Mountain,Cross Country Race,Carbon,Louisville Race Equipment
2011-01-20,12,13,KY,1,2240,2240,Road,Endurance Road,Carbon,Louisville Race Equipment
2011-01-20,12,14,KY,1,2240,2240,Road,Elite Road,Aluminum,Louisville Race Equipment
2011-01-20,12,15,KY,1,3200,3200,Road,Triathalon,Carbon,Louisville Race Equipment
2011-01-20,12,16,KY,3,1840,5520,Road,Elite Road,Carbon,Louisville Race Equipment
2011-01-20,12,17,KY,1,870,870,Road,Endurance Road,Aluminum,Louisville Race Equipment
2011-01-20,12,18,KY,1,2660,2660,Road,Elite Road,Carbon,Louisville Race Equipment
2011-01-20,12,19,KY,1,7460,7460,Mountain,Cross Country Race,Carbon,Louisville Race Equipment
2011-01-20,13,1,TN,1,5330,5330,Road,Elite Road,Carbon,Nashville Cruisers
2011-01-20,13,2,TN,1,1410,1410,Road,Elite Road,Aluminum,Nashville Cruisers
2011-01-24,14,1,NM,1,2340,2340,Mountain,Trail,Aluminum,Albuquerque Cycles
2011-01-24,14,2,NM,1,2770,2770,Mountain,Trail,Aluminum,Albuquerque Cycles
2011-01-24,14,3,NM,1,4800,4800,Mountain,Cross Country Race,Carbon,Albuquerque Cycles
2011-01-25,15,1,OK,1,7990,7990,Road,Elite Road,Carbon,Oklahoma City Race Equipment
2011-01-25,15,2,OK,1,1250,1250,Road,Endurance Road,Aluminum,Oklahoma City Race Equipment
2011-01-25,15,3,OK,3,3200,9600,Mountain,Cross Country Race,Aluminum,Oklahoma City Race Equipment
2011-01-25,15,4,OK,1,4260,4260,Road,Elite Road,Carbon,Oklahoma City Race Equipment
2011-01-25,15,5,OK,1,1250,1250,Road,Elite Road,Aluminum,Oklahoma City Race Equipment
2011-01-25,15,6,OK,2,4480,8960,Mountain,Trail,Carbon,Oklahoma City Race Equipment
2011-01-25,15,7,OK,1,1350,1350,Mountain,Sport,Aluminum,Oklahoma City Race Equipment
2011-01-25,15,8,OK,1,1950,1950,Road,Elite Road,Aluminum,Oklahoma City Race Equipment
2011-01-25,15,9,OK,1,12790,12790,Road,Elite Road,Carbon,Oklahoma City Race Equipment
2011-01-25,15,10,OK,1,1950,1950,Mountain,Trail,Aluminum,Oklahoma City Race Equipment
2011-01-25,15,11,OK,1,2450,2450,Road,Cyclocross,Carbon,Oklahoma City Race Equipment
2011-01-25,15,12,OK,2,9590,19180,Road,Endurance Road,Carbon,Oklahoma City Race Equipment
2011-01-25,16,1,MN,4,1840,7360,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop
2011-01-25,16,2,MN,1,1080,1080,Mountain,Sport,Aluminum,Minneapolis Bike Shop
2011-01-25,16,3,MN,1,585,585,Mountain,Sport,Aluminum,Minneapolis Bike Shop
2011-01-25,16,4,MN,1,705,705,Mountain,Sport,Aluminum,Minneapolis Bike Shop
2011-01-25,16,5,MN,1,7990,7990,Road,Elite Road,Carbon,Minneapolis Bike Shop
2011-01-25,16,6,MN,1,2060,2060,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop
2011-01-25,16,7,MN,1,3200,3200,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop
2011-01-25,16,8,MN,2,3840,7680,Mountain,Over Mountain,Carbon,Minneapolis Bike Shop
2011-01-26,17,1,OH,1,7000,7000,Road,Triathalon,Carbon,Cincinnati Speed
2011-01-28,18,1,CO,1,815,815,Road,Elite Road,Aluminum,Denver Bike Shop
2011-01-28,18,2,CO,1,4260,4260,Mountain,Cross Country Race,Carbon,Denver Bike Shop
2011-01-28,19,1,NY,2,11190,22380,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers
2011-01-28,19,2,NY,1,3200,3200,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers
2011-01-28,20,1,KS,1,2240,2240,Road,Elite Road,Carbon,Kansas City 29ers
2011-01-28,20,2,KS,1,2660,2660,Road,Elite Road,Aluminum,Kansas City 29ers
2011-01-28,20,3,KS,1,3200,3200,Mountain,Over Mountain,Carbon,Kansas City 29ers
2011-01-28,20,4,KS,1,3730,3730,Mountain,Trail,Carbon,Kansas City 29ers
2011-01-28,20,5,KS,1,1950,1950,Road,Elite Road,Aluminum,Kansas City 29ers
2011-01-28,20,6,KS,1,3730,3730,Road,Endurance Road,Carbon,Kansas City 29ers
2011-01-28,20,7,KS,1,3200,3200,Mountain,Trail,Aluminum,Kansas City 29ers
2011-01-28,20,8,KS,1,1620,1620,Mountain,Trail,Aluminum,Kansas City 29ers
2011-01-28,20,9,KS,1,2130,2130,Mountain,Trail,Aluminum,Kansas City 29ers
2011-02-01,21,1,NV,1,8200,8200,Mountain,Over Mountain,Carbon,Las Vegas Cycles
2011-02-01,21,2,NV,4,7990,31960,Road,Elite Road,Carbon,Las Vegas Cycles
2011-02-01,21,3,NV,1,3200,3200,Mountain,Cross Country Race,Aluminum,Las Vegas Cycles
2011-02-01,21,4,NV,1,4800,4800,Road,Endurance Road,Carbon,Las Vegas Cycles
2011-02-01,21,5,NV,1,3200,3200,Mountain,Cross Country Race,Aluminum,Las Vegas Cycles
2011-02-01,22,1,WA,2,2130,4260,Road,Endurance Road,Aluminum,Seattle Race Equipment
2011-02-01,22,2,WA,1,1030,1030,Road,Endurance Road,Aluminum,Seattle Race Equipment
2011-02-01,22,3,WA,1,3730,3730,Mountain,Fat Bike,Aluminum,Seattle Race Equipment
2011-02-01,22,4,WA,1,870,870,Road,Endurance Road,Aluminum,Seattle Race Equipment
2011-02-01,22,5,WA,3,2340,7020,Mountain,Trail,Aluminum,Seattle Race Equipment
2011-02-01,22,6,WA,1,5860,5860,Road,Endurance Road,Carbon,Seattle Race Equipment
2011-02-01,22,7,WA,2,3500,7000,Road,Cyclocross,Carbon,Seattle Race Equipment
2011-02-01,22,8,WA,1,3200,3200,Mountain,Trail,Aluminum,Seattle Race Equipment
2011-02-01,22,9,WA,1,3200,3200,Road,Endurance Road,Carbon,Seattle Race Equipment
2011-02-01,22,10,WA,2,1840,3680,Road,Elite Road,Carbon,Seattle Race Equipment
2011-02-04,23,1,CO,1,6070,6070,Mountain,Over Mountain,Carbon,Denver Bike Shop
2011-02-04,23,2,CO,1,2340,2340,Mountain,Cross Country Race,Aluminum,Denver Bike Shop
2011-02-04,23,3,CO,1,980,980,Mountain,Sport,Aluminum,Denver Bike Shop
2011-02-04,23,4,CO,1,2660,2660,Road,Endurance Road,Carbon,Denver Bike Shop
2011-02-04,23,5,CO,1,1950,1950,Road,Triathalon,Carbon,Denver Bike Shop
2011-02-07,24,1,MI,1,3200,3200,Road,Triathalon,Carbon,Ann Arbor Speed
2011-02-07,24,2,MI,7,2660,18620,Road,Endurance Road,Carbon,Ann Arbor Speed
2011-02-07,24,3,MI,3,10660,31980,Road,Elite Road,Carbon,Ann Arbor Speed
2011-02-07,24,4,MI,1,870,870,Road,Endurance Road,Aluminum,Ann Arbor Speed
2011-02-07,24,5,MI,1,3940,3940,Road,Elite Road,Carbon,Ann Arbor Speed
2011-02-07,24,6,MI,1,1840,1840,Mountain,Cross Country Race,Aluminum,Ann Arbor Speed
2011-02-07,24,7,MI,2,1950,3900,Road,Triathalon,Carbon,Ann Arbor Speed
2011-02-07,24,8,MI,1,415,415,Mountain,Sport,Aluminum,Ann Arbor Speed
2011-02-07,24,9,MI,1,980,980,Mountain,Sport,Aluminum,Ann Arbor Speed
2011-02-07,24,10,MI,1,1410,1410,Road,Elite Road,Aluminum,Ann Arbor Speed
2011-02-07,24,11,MI,1,4260,4260,Road,Elite Road,Aluminum,Ann Arbor Speed
2011-02-07,25,1,NM,1,1950,1950,Road,Elite Road,Aluminum,Albuquerque Cycles
2011-02-07,25,2,NM,1,3200,3200,Road,Elite Road,Aluminum,Albuquerque Cycles
2011-02-07,25,3,NM,1,2340,2340,Mountain,Cross Country Race,Aluminum,Albuquerque Cycles
2011-02-09,26,1,OH,1,3200,3200,Road,Elite Road,Aluminum,Columbus Race Equipment
2011-02-10,27,1,KS,1,2660,2660,Road,Elite Road,Carbon,Kansas City 29ers
2011-02-10,27,2,KS,1,3200,3200,Mountain,Trail,Aluminum,Kansas City 29ers
2011-02-10,27,3,KS,1,1030,1030,Road,Elite Road,Aluminum,Kansas City 29ers
2011-02-10,27,4,KS,2,980,1960,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-10,27,5,KS,1,2340,2340,Mountain,Cross Country Race,Aluminum,Kansas City 29ers
2011-02-10,27,6,KS,1,2880,2880,Mountain,Cross Country Race,Carbon,Kansas City 29ers
2011-02-10,27,7,KS,3,1620,4860,Mountain,Trail,Aluminum,Kansas City 29ers
2011-02-10,27,8,KS,1,1520,1520,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-10,27,9,KS,1,2660,2660,Mountain,Trail,Aluminum,Kansas City 29ers
2011-02-10,27,10,KS,1,3200,3200,Mountain,Cross Country Race,Aluminum,Kansas City 29ers
2011-02-10,27,11,KS,1,4800,4800,Mountain,Cross Country Race,Carbon,Kansas City 29ers
2011-02-10,27,12,KS,2,3200,6400,Road,Triathalon,Carbon,Kansas City 29ers
2011-02-10,28,1,NY,1,7990,7990,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers
2011-02-10,28,2,NY,1,3200,3200,Mountain,Trail,Aluminum,Ithaca Mountain Climbers
2011-02-10,28,3,NY,1,3200,3200,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers
2011-02-10,28,4,NY,1,415,415,Mountain,Sport,Aluminum,Ithaca Mountain Climbers
2011-02-10,28,5,NY,2,11190,22380,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers
2011-02-10,28,6,NY,1,4260,4260,Road,Elite Road,Carbon,Ithaca Mountain Climbers
2011-02-10,28,7,NY,1,6390,6390,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers
2011-02-10,28,8,NY,1,1520,1520,Mountain,Sport,Aluminum,Ithaca Mountain Climbers
2011-02-10,28,9,NY,1,3200,3200,Road,Elite Road,Carbon,Ithaca Mountain Climbers
2011-02-10,28,10,NY,1,2060,2060,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers
2011-02-10,28,11,NY,1,3940,3940,Road,Elite Road,Carbon,Ithaca Mountain Climbers
2011-02-10,28,12,NY,1,5330,5330,Road,Endurance Road,Carbon,Ithaca Mountain Climbers
2011-02-10,28,13,NY,1,2130,2130,Mountain,Fat Bike,Aluminum,Ithaca Mountain Climbers
2011-02-10,28,14,NY,1,7000,7000,Road,Triathalon,Carbon,Ithaca Mountain Climbers
2011-02-10,28,15,NY,1,6390,6390,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers
2011-02-10,28,16,NY,1,4260,4260,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers
2011-02-10,28,17,NY,1,5970,5970,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers
2011-02-10,28,18,NY,2,4260,8520,Road,Elite Road,Aluminum,Ithaca Mountain Climbers
2011-02-10,28,19,NY,1,2240,2240,Road,Elite Road,Aluminum,Ithaca Mountain Climbers
2011-02-11,29,1,NY,1,3200,3200,Mountain,Trail,Aluminum,Ithaca Mountain Climbers
2011-02-11,29,2,NY,1,4800,4800,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers
2011-02-11,29,3,NY,1,11190,11190,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers
2011-02-11,29,4,NY,1,3200,3200,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers
2011-02-11,29,5,NY,1,7990,7990,Road,Elite Road,Carbon,Ithaca Mountain Climbers
2011-02-14,30,1,MI,3,2240,6720,Road,Elite Road,Carbon,Ann Arbor Speed
2011-02-14,30,2,MI,1,3200,3200,Road,Elite Road,Carbon,Ann Arbor Speed
2011-02-15,31,1,NY,1,3200,3200,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers
2011-02-15,31,2,NY,1,2340,2340,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers
2011-02-15,31,3,NY,1,7460,7460,Mountain,Trail,Carbon,Ithaca Mountain Climbers
2011-02-15,31,4,NY,1,3200,3200,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers
2011-02-15,32,1,AZ,2,1250,2500,Road,Elite Road,Aluminum,Phoenix Bi-peds
2011-02-15,32,2,AZ,1,1960,1960,Road,Cyclocross,Carbon,Phoenix Bi-peds
2011-02-15,32,3,AZ,1,3730,3730,Mountain,Over Mountain,Carbon,Phoenix Bi-peds
2011-02-15,32,4,AZ,1,1570,1570,Road,Endurance Road,Aluminum,Phoenix Bi-peds
2011-02-15,32,5,AZ,1,2340,2340,Mountain,Cross Country Race,Aluminum,Phoenix Bi-peds
2011-02-15,32,6,AZ,1,4800,4800,Mountain,Cross Country Race,Carbon,Phoenix Bi-peds
2011-02-15,32,7,AZ,1,3200,3200,Road,Endurance Road,Carbon,Phoenix Bi-peds
2011-02-15,32,8,AZ,2,4260,8520,Road,Elite Road,Aluminum,Phoenix Bi-peds
2011-02-15,32,9,AZ,6,2130,12780,Mountain,Fat Bike,Aluminum,Phoenix Bi-peds
2011-02-15,32,10,AZ,1,3200,3200,Road,Elite Road,Carbon,Phoenix Bi-peds
2011-02-15,32,11,AZ,1,2770,2770,Mountain,Trail,Aluminum,Phoenix Bi-peds
2011-02-15,32,12,AZ,3,2660,7980,Mountain,Trail,Aluminum,Phoenix Bi-peds
2011-02-15,32,13,AZ,1,2450,2450,Road,Cyclocross,Carbon,Phoenix Bi-peds
2011-02-15,32,14,AZ,1,9060,9060,Mountain,Cross Country Race,Carbon,Phoenix Bi-peds
2011-02-15,32,15,AZ,1,1080,1080,Mountain,Sport,Aluminum,Phoenix Bi-peds
2011-02-15,32,16,AZ,1,4260,4260,Mountain,Cross Country Race,Carbon,Phoenix Bi-peds
2011-02-15,32,17,AZ,1,4800,4800,Road,Endurance Road,Carbon,Phoenix Bi-peds
2011-02-15,32,18,AZ,1,2240,2240,Road,Elite Road,Aluminum,Phoenix Bi-peds
2011-02-15,32,19,AZ,1,1750,1750,Road,Cyclocross,Carbon,Phoenix Bi-peds
2011-02-15,32,20,AZ,3,7460,22380,Mountain,Trail,Carbon,Phoenix Bi-peds
2011-02-15,32,21,AZ,2,1840,3680,Mountain,Cross Country Race,Aluminum,Phoenix Bi-peds
2011-02-15,32,22,AZ,1,3730,3730,Mountain,Trail,Carbon,Phoenix Bi-peds
2011-02-15,32,23,AZ,1,1950,1950,Road,Elite Road,Aluminum,Phoenix Bi-peds
2011-02-15,33,1,CO,2,415,830,Mountain,Sport,Aluminum,Denver Bike Shop
2011-02-15,33,2,CO,1,815,815,Mountain,Sport,Aluminum,Denver Bike Shop
2011-02-16,34,1,KS,1,415,415,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-16,34,2,KS,1,10660,10660,Road,Elite Road,Carbon,Kansas City 29ers
2011-02-16,34,3,KS,1,1250,1250,Road,Elite Road,Aluminum,Kansas City 29ers
2011-02-16,34,4,KS,1,2340,2340,Mountain,Cross Country Race,Aluminum,Kansas City 29ers
2011-02-16,34,5,KS,1,705,705,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-16,34,6,KS,1,2700,2700,Road,Triathalon,Carbon,Kansas City 29ers
2011-02-16,34,7,KS,1,2060,2060,Mountain,Cross Country Race,Aluminum,Kansas City 29ers
2011-02-16,34,8,KS,1,2660,2660,Road,Endurance Road,Carbon,Kansas City 29ers
2011-02-16,34,9,KS,1,1350,1350,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-16,34,10,KS,2,7990,15980,Mountain,Over Mountain,Carbon,Kansas City 29ers
2011-02-16,34,11,KS,1,980,980,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-16,34,12,KS,1,12790,12790,Mountain,Cross Country Race,Carbon,Kansas City 29ers
2011-02-16,34,13,KS,1,2660,2660,Road,Elite Road,Aluminum,Kansas City 29ers
2011-02-16,34,14,KS,1,585,585,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-16,34,15,KS,1,2770,2770,Mountain,Trail,Aluminum,Kansas City 29ers
2011-02-16,34,16,KS,1,1950,1950,Road,Triathalon,Carbon,Kansas City 29ers
2011-02-16,34,17,KS,3,2240,6720,Road,Elite Road,Carbon,Kansas City 29ers
2011-02-16,34,18,KS,1,1520,1520,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-16,34,19,KS,1,5330,5330,Mountain,Trail,Carbon,Kansas City 29ers
2011-02-16,34,20,KS,1,4480,4480,Mountain,Trail,Carbon,Kansas City 29ers
2011-02-16,34,21,KS,1,815,815,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-16,34,22,KS,1,1410,1410,Road,Elite Road,Aluminum,Kansas City 29ers
2011-02-16,34,23,KS,1,3200,3200,Road,Elite Road,Aluminum,Kansas City 29ers
2011-02-16,34,24,KS,1,480,480,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-16,34,25,KS,1,9060,9060,Mountain,Cross Country Race,Carbon,Kansas City 29ers
2011-02-17,35,1,OR,2,4260,8520,Road,Elite Road,Aluminum,Portland Bi-peds
2011-02-17,35,2,OR,1,2130,2130,Mountain,Trail,Aluminum,Portland Bi-peds
2011-02-17,35,3,OR,1,2880,2880,Mountain,Trail,Aluminum,Portland Bi-peds
2011-02-17,35,4,OR,1,3730,3730,Mountain,Fat Bike,Aluminum,Portland Bi-peds
2011-02-17,35,5,OR,1,1030,1030,Road,Endurance Road,Aluminum,Portland Bi-peds
2011-02-17,35,6,OR,1,1350,1350,Mountain,Sport,Aluminum,Portland Bi-peds
2011-02-17,35,7,OR,3,1410,4230,Road,Elite Road,Aluminum,Portland Bi-peds
2011-02-17,35,8,OR,1,1750,1750,Road,Cyclocross,Carbon,Portland Bi-peds
2011-02-17,35,9,OR,1,12790,12790,Road,Elite Road,Carbon,Portland Bi-peds
2011-02-18,36,1,FL,1,2130,2130,Mountain,Fat Bike,Aluminum,Tampa 29ers
2011-02-18,36,2,FL,1,5860,5860,Road,Endurance Road,Carbon,Tampa 29ers
2011-02-18,36,3,FL,1,4500,4500,Road,Triathalon,Carbon,Tampa 29ers
2011-02-18,36,4,FL,1,4800,4800,Mountain,Cross Country Race,Carbon,Tampa 29ers
2011-02-18,36,5,FL,1,2880,2880,Mountain,Trail,Aluminum,Tampa 29ers
2011-02-18,36,6,FL,1,7990,7990,Mountain,Over Mountain,Carbon,Tampa 29ers
2011-02-18,36,7,FL,1,2060,2060,Mountain,Cross Country Race,Aluminum,Tampa 29ers
2011-02-18,36,8,FL,1,12250,12250,Mountain,Trail,Carbon,Tampa 29ers
2011-02-18,36,9,FL,1,3200,3200,Mountain,Trail,Aluminum,Tampa 29ers
2011-02-18,36,10,FL,1,3200,3200,Mountain,Over Mountain,Carbon,Tampa 29ers
2011-02-18,36,11,FL,3,5330,15990,Mountain,Cross Country Race,Carbon,Tampa 29ers
2011-02-18,36,12,FL,1,3730,3730,Road,Endurance Road,Carbon,Tampa 29ers
2011-02-18,36,13,FL,1,6390,6390,Mountain,Cross Country Race,Carbon,Tampa 29ers
2011-02-18,36,14,FL,2,3730,7460,Mountain,Fat Bike,Aluminum,Tampa 29ers
2011-02-18,36,15,FL,2,11190,22380,Mountain,Cross Country Race,Carbon,Tampa 29ers
2011-02-18,36,16,FL,1,3730,3730,Mountain,Trail,Carbon,Tampa 29ers
2011-02-18,36,17,FL,1,4800,4800,Road,Endurance Road,Carbon,Tampa 29ers
2011-02-18,36,18,FL,1,3730,3730,Mountain,Over Mountain,Carbon,Tampa 29ers
2011-02-18,36,19,FL,1,1620,1620,Mountain,Trail,Aluminum,Tampa 29ers
2011-02-18,36,20,FL,1,7460,7460,Mountain,Cross Country Race,Carbon,Tampa 29ers
2011-02-18,37,1,CO,2,5330,10660,Mountain,Trail,Carbon,Denver Bike Shop
2011-02-21,38,1,OH,1,12790,12790,Road,Elite Road,Carbon,Cincinnati Speed
2011-02-21,38,2,OH,1,4500,4500,Road,Triathalon,Carbon,Cincinnati Speed
2011-02-21,38,3,OH,1,10660,10660,Road,Elite Road,Carbon,Cincinnati Speed
2011-02-21,38,4,OH,2,2660,5320,Road,Elite Road,Aluminum,Cincinnati Speed
2011-02-21,38,5,OH,1,3730,3730,Mountain,Over Mountain,Carbon,Cincinnati Speed
2011-02-21,38,6,OH,1,3200,3200,Mountain,Over Mountain,Carbon,Cincinnati Speed
2011-02-21,38,7,OH,2,1030,2060,Road,Endurance Road,Aluminum,Cincinnati Speed
2011-02-22,39,1,KS,3,2880,8640,Mountain,Cross Country Race,Carbon,Kansas City 29ers
2011-02-22,39,2,KS,1,480,480,Mountain,Sport,Aluminum,Kansas City 29ers
2011-02-22,39,3,KS,1,2340,2340,Mountain,Trail,Aluminum,Kansas City 29ers
2011-02-22,39,4,KS,1,3200,3200,Mountain,Trail,Aluminum,Kansas City 29ers
2011-02-22,39,5,KS,1,3200,3200,Mountain,Cross Country Race,Aluminum,Kansas City 29ers
2011-02-22,39,6,KS,1,1750,1750,Road,Cyclocross,Carbon,Kansas City 29ers
2011-02-22,39,7,KS,1,2060,2060,Mountain,Cross Country Race,Aluminum,Kansas City 29ers
2011-02-22,39,8,KS,1,6390,6390,Mountain,Cross Country Race,Carbon,Kansas City 29ers
2011-02-22,39,9,KS,1,5970,5970,Mountain,Over Mountain,Carbon,Kansas City 29ers
2011-02-22,39,10,KS,1,7460,7460,Mountain,Cross Country Race,Carbon,Kansas City 29ers
2011-02-22,39,11,KS,1,11190,11190,Mountain,Cross Country Race,Carbon,Kansas City 29ers
2011-02-22,39,12,KS,1,3200,3200,Mountain,Cross Country Race,Aluminum,Kansas City 29ers
2011-02-22,39,13,KS,1,2660,2660,Mountain,Trail,Aluminum,Kansas City 29ers
2011-02-22,39,14,KS,1,1350,1350,Mountain,Sport,Aluminum,Kansas City 29ers
